Object Number,Title,Image ID
19312,Black-Figure Pottery Sherd,106350
24484,Plaque with Scorpion,9995
36359,Door,71308
38972,Tetradrachm,87259
20194,Roma - Museo Capitolino. Venere Capitolina (Originale Greco Posteriore a Praxitele),36002
8866,Winged Figure,109058
38591,Jar,82472
25275,"Bead in the Form of an Udjat Eye, Ankh on Back",13788
35798,Miniature Vessel,67129
19408,Bucchero Olpe,46591
26894,Necklace,78233
39870,"Lord Vishnu, Darshan",91425
12559,Relief of Ramesses II,31391
36570,Fragment of a Cartouche,71651
38084,Scarab,83870
37542,Young Woman,82381
20898,"Drawing from Life at the Royal Academy, the Somerset House",20374
17744,Bird Rattle,31278
36177,Vessel with Eagle and Corn Motifs,89795
11247,"Firenze, Chiesa di S. Lorenzo, Sagrestia Vecchia, una Parta in Bronzo di Fianco alla Tribuna",26149
28185,Large Kiln Stand,26752
314,Bowl with Cormorants,11184
32042,Vessel,36193
35332,One Panel Textile,61079
21603,Pottery Fragment (Rim),108524
28197,Kiln Stand,26764
28583,Vessel,27345
29622,Human Legs and Feet Figurine,29330
26970,Intaglio with Drunken Satyr Riding a Mule,108842
2837,"Cardinal Mazarin, after Jean Baptiste Mol",12142
38971,Tetradrachm,87257
20784,"Coin, Obverse: Portrait of a Man, Reverse: Wreath",110843
17004,Dummy Canopic Jar,9307
39728,Scene from the Ramayana,88189
2144,Tripod Bowl with Slit Legs,27642
25021,Intaglio with Portrait Bust of Postumous or Cardusius,26520
27596,Paint Palette,25390
16287,Celt,33507
38443,Amulet of Bastet,82101
36394,Topographia Variarum Regionum,71710
650,Female Figure (Akua'ba),25034
34498,Horse Bridle Ornament,56169
38241,Seated Statuette of Sekhmet,101799
31411,Coin,34294
13649,Bead,11962
25015,Intaglio Gem Depicting Mercury,98130
34682,Mademoiselle de Maupin,57818
35458,Sprinkler Vessel,63956
36227,Jar,76411
38209,Mirror,81738
28529,White Slip Ware Pitcher,27352
15567,"Cattedrale, Cappella dei Torriani, Monumento (XIII Secolo)",26052
31923,Cuneiform Tablet,35730
20162,Coin,110853
25599,Relief of the Goddess Sopdet,48004
18140,Feline Effigy Bowl,11499
3507,Amulet or Pendant (?),29472
21762,Mosaic Glass Fragment,54915
36429,Page from an Emblem Book: Fideli Ministro Pos,76674
38799,Tetradrachm,86055
39201,Pithos Fragment,85650
13329,Vessel Fragment,18467
3731,Head Fragment with Headdress,30690
5331,Upper Part of a Female Figurine,107606
30212,Oil Lamp,32259
25120,"Bead: on one Face, a bird; on the Other, a Horse Protome; around the Edge, Tamgas",13627
17451,"Naples, Prise de Posilype",23102
6500,Coin with Portrait (Obverse) and Gate of Roman Fortress (Reverse),111745
2696,Ruins of Egyptian and Greek Monuments (Rovine d'architettura Egiziana e Greca),92405
30687,Vessel with Puma Head,35161
20990,Painted Qero (Drinking Cup) with Harvest Scene (Arihua) and Tocapu Motifs,11996
38934,Tetradrachm,86815
25025,Finger Ring: Facing Portrait of Bearded Man,13510
23894,Face Bead,10883
11173,Bowl,18727
38667,Head from a Coffin Lid,103375
15651,Incised Tripod Bowl with Animal Head,27702
17378,"Lug-Handled Jar Decorated with Ships, Water, Plants, and Water Birds",91792
30233,Mould Made Lamp,32243
19127,Roma - Martiri Gorcomiesi - Fracassini - Vaticano,22108
24762,Scaraboid Intaglio with a Sphinx and Palmette Tree of Life,25912
32222,Vessel,47794
19763,Black-Figure Pottery Sherd,106404
21840,"Coin of Constantinus (Obverse: [CONSTANTINUS IUN(ior) NOB(ilissimus) C(aesar)] (Constantinus Junior Most Noble Caesar), Reverse: [CAESARUM NOSTRORUM] (Of our Caesars))",111362
3208,Coin,112161
36047,Heaven,76871
24784,Burnished Bowl,11757
13351,Necklace,105402
34778,Mademoiselle de Maupin I (Mademoiselle de Maupin II?) (from Rops Naturalia),59641
26582,Asen,30038
19137,"Black-Figure Pottery Sherd, Cup with Floral Band",106388
38666,Coffin Head,84360
31425,Coin,34321
15338,Bowl Fragment Depicting Oceanus with Lobsters in His Hair,110535
13479,Prutah of the Jewish War,112304
39173,Rim Fragment,85276
15349,Seated Figure with Outstretched Arms,28051
3181,Temple,21705
36642,Kifwebe,72447
11652,Intaglio Seal with Boar,64334
2605,Marco Aurelio,22044
2513,Pottery Fragment (Body) with Incised Lines,108434
26839,Round Stamp Seal with Cross or Four-Petaled Flower Pattern,19845
9072,Necklace Element (or Earring),48817
14785,Coatimundi Effigy Vessel,11247
18476,Black-Figure Column Krater Fragment with Palmette Design,37471
23871,Skyphos Fragment with Owl,109055
21277,"Firenze, Chiesa di S. Croce, un Dettaglio del Pulpito",26146
29662,Figurine Fragment,29370
12892,Mold for a Seated God,10136
31911,Cuneiform Tablet: Old Babylonian Scribal Practice Writing Sumerian Names Begining lugal-,35695
3148,Coin,111586
18952,Head Crest,26002
36293,Belt,71379
9762,Bowl Fragment,109864
26374,Red Camisa (Shirt) for a Male Saint Effigy,69582
3000,Red-Figure Cup with Women,60080
3188,Coin,112018
10473,"Head from a Female ""Stargazer"" Idol",54493
39470,Fragment,90223
26573,Gelede Mask,17329
24190,Red-Figure Psykter Fragment with Satyrs at Volute-Krater,91334
31853,Cuneiform Tablet: Old Babylonian Account of Barley,35556
29298,Animal Head Figurine,28944
20979,Pola--Chiesa della Misericordia. Porta sul Fianco (XVI Sec.),24096
39391,Fragment,89899
36332,Hat,71054
15755,Sarcophagus with High Relief Sculpture (Engraved: Jesus lui repondit ne t'ai je pas dit que si tu crois tu verrais la gloire de Dieu),21360
37749,Shabti of Horiraa,83193
24911,Intaglio with Seated Satyr,108298
38297,Venus,81878
31934,Pendant Amulet or Stamp Seal: Inscribed with Three Rows of Alphabetic Letters,35833
1206,Herodian Lamp,111969
7171,Bust,18641
32661,Lid from a Canopic Jar with the Head of Qebehsenuef,40484
13716,Sling Bullet,46532
38535,Tetradrachm,87386
38219,Red-Figure Lekanis,81757
27389,Head of a Deity,30278
24095,Falcon Pendant,14528
3469,Pottery Fragment (Body) with Incised Lines,108588
26924,Intagio with Seated Fortuna,21085
23897,Face Bead,10886
24167,Red-Figure Calyx-Krater Fragment with Meander Pattern,91693
9070,Bottle Stopper Pendant,46278
27126,Ringstone with Galloping Horse,22363
26444,Lion Protome,17005
39444,Fragment,90112
26736,Cup,46477
8434,"Firenze, Chiesa di S. Croce, Pilastro con la Madonna del Rossellino e la Pila dell'Acqua Santa",23779
5669,Miniature Spear-Thrower,11967
24956,Cameo with Head of Medusa,36711
18145,Head of a Deva with Long Hair (Maitreya?),94545
18109,"Ravenna--Emilia. Battistero. La Cupola col Battesimo di Gesu, Intorno gli Apostoli (Musaico del V secolo)",24132
24766,Bead Carved in the Form of an African's Head,11837
1469,Base Fragment from a Vessel with Frieze of Lions and Filler Motifs,107701
17487,Pedestal Plate with Stingray Motif,41166
28454,Footed Greyware Vessel,27014
20848,"Niobide, Uffizi",21358
21659,Twin Memorial Figure (Ere Ibeji),18699
13867,Sling Bullet,10414
6997,Udjat Eye Ring,10921
39029,Tetradrachm,87625
29492,Fragmentary Wheeled Figurine,29034
20755,Ravenna--Emilia. Basilica di S. Vitale. Un Finestrone della Loggia Superiore,24114
18394,Earspool,11766
10580,Girl's Blouse with Geometric Patterns,35270
35975,Figure,67814
27046,Intaglio with Fortuna,21885
38516,Tetradrachm,86019
19974,Tripod Plate with Underside Feathered Serpent Design,10522
25608,Green Camisa (Shirt) for a Male Saint Effigy,69315
37719,Shabti of Nesitaneb(et)isheru,83052
40089,Human Effigy Figurine Head Fragment,92946
37665,Falcon Casket,98013
4333,"Fermo-Marche. Palazzo Azzolino, il Cortile",26129
29802,Figurine Fragment,30217
28317,"""Bird"" Head of a Goddess (Astarte)",26863
21876,Angular Vessel with Fish Scales and Eyes and Stepped Motif on Neck,98338
38148,Bracelet with Lion Head Terminals,81643
39478,Fragment,90237
24340,Horse-Headed Amphora,18734
26983,Intaglio with Gorgoneion Mask,108852
15394,"Bari, Basilica di S. Niccolo, Sedia di Elia (XI Secolo)",26073
15113,Female Figure Seated on aTwo-Legged Bench with Hands Below Breasts,27591
31813,Cuneiform Tablet: Proto-Cuneiform Administrative Text,35468
19002,"Black-Figure Pottery Sherd, Band Cup",106360
29233,Horse Head Figurine,28729
18240,House or Cottage Surrounded by Trees,18846
4158,Litter Post with Tunic-Wearing Figure,11543
38181,Oinochoe,81700
38906,Tetradrachm,86470
39231,Fragment,85801
26191,Bracelet,16461
15717,Faun and Baccus,19008
31343,Wedding Jar with Incised Designs,89819
30545,Wheelmade Lamp,32487
29281,Animal Head Figurine,28927
39996,Four-Chambered Human-Animal Effigy Bottle with Stirrup Spout,92637
40828,Fragment from a Book of the Dead,10631
36740,Sculpture,72585
30629,"""Frog"" Oil Lamp",32210
28178,Kiln Stand,26745
24298,Eques Ioans. Laurentius Berninus Neapolitan. Sculptor (Portrait of Giovanni Lorenzo Bernini),33122
4162,Coin,111919
39045,Feather Headdress,84365
2441,Black-Figure Pottery Sherd,106100
13280,Black-Figure Handle Fragment,18461
40138,Nomoli,94302
32116,Coin,36311
40101,Spindle Whorl,92960
27128,"Ringstone with Gryllos, Cock, and Ram",22369
1598,Head of a Bodhisattva,94465
17237,Funerary Cone,17828
27918,Offering Cup,26262
22201,Standing Female Holding a Vessel,34664
9113,"Brancoli, Dintorni di Lucca. Pieve di S. Maria e S. Giorgioi, Battistero",26108
24079,Wine Vessel (Jue),10320
4719,Figure with Small Bowl,25039
18005,"Perugia, Logge di Braccio e Cattedrale",23950
27973,Small Vessel,26460
3246,Olive Trees and Rocky Soil,26561
10611,Dulemola,35278
34775,H.B. (from Rops Naturalia),59631
28489,Bowl,27068
1332,Saucer Lamp,107307
13767,Sling Bullet,10409
15233,Bird Split-Celt Pendant,11677
20496,Black-Figure Pottery Sherd,105976
29641,Human Torso Figurine,29349
19806,Black-Figure Pottery Sherd,106271
