Object Number,Title,Image ID
19312,Black-Figure Pottery Sherd,106350.0
24484,Plaque with Scorpion,9995.0
36359,Door,71308.0
38972,Tetradrachm,87259.0
20194,Roma - Museo Capitolino. Venere Capitolina (Originale Greco Posteriore a Praxitele),36002.0
8866,Winged Figure,109058.0
38591,Jar,82472.0
25275,"Bead in the Form of an Udjat Eye, Ankh on Back",13788.0
35798,Miniature Vessel,67129.0
19408,Bucchero Olpe,46591.0
26894,Necklace,78233.0
39870,"Lord Vishnu, Darshan",91425.0
12559,Relief of Ramesses II,31391.0
36570,Fragment of a Cartouche,71651.0
38084,Scarab,83870.0
37542,Young Woman,82381.0
20898,"Drawing from Life at the Royal Academy, the Somerset House",20374.0
17744,Bird Rattle,31278.0
36177,Vessel with Eagle and Corn Motifs,89795.0
11247,"Firenze, Chiesa di S. Lorenzo, Sagrestia Vecchia, una Parta in Bronzo di Fianco alla Tribuna",26149.0
28185,Large Kiln Stand,26752.0
314,Bowl with Cormorants,11184.0
32042,Vessel,36193.0
35332,One Panel Textile,61079.0
21603,Pottery Fragment (Rim),108524.0
28197,Kiln Stand,26764.0
28583,Vessel,27345.0
29622,Human Legs and Feet Figurine,29330.0
26970,Intaglio with Drunken Satyr Riding a Mule,108842.0
2837,"Cardinal Mazarin, after Jean Baptiste Mol",12142.0
38971,Tetradrachm,87257.0
20784,"Coin, Obverse: Portrait of a Man, Reverse: Wreath",110843.0
17004,Dummy Canopic Jar,9307.0
39728,Scene from the Ramayana,88189.0
2144,Tripod Bowl with Slit Legs,27642.0
25021,Intaglio with Portrait Bust of Postumous or Cardusius,26520.0
27596,Paint Palette,25390.0
16287,Celt,33507.0
38443,Amulet of Bastet,82101.0
36394,Topographia Variarum Regionum,71710.0
650,Female Figure (Akua'ba),25034.0
34498,Horse Bridle Ornament,56169.0
38241,Seated Statuette of Sekhmet,101799.0
31411,Coin,34294.0
13649,Bead,11962.0
25015,Intaglio Gem Depicting Mercury,98130.0
34682,Mademoiselle de Maupin,57818.0
35458,Sprinkler Vessel,63956.0
36227,Jar,76411.0
38209,Mirror,81738.0
28529,White Slip Ware Pitcher,27352.0
28121,Spindle Whorl,
15567,"Cattedrale, Cappella dei Torriani, Monumento (XIII Secolo)",26052.0
31923,Cuneiform Tablet,35730.0
20162,Coin,110853.0
25599,Relief of the Goddess Sopdet,48004.0
18140,Feline Effigy Bowl,11499.0
3507,Amulet or Pendant (?),29472.0
21762,Mosaic Glass Fragment,54915.0
36429,Page from an Emblem Book: Fideli Ministro Pos,76674.0
38799,Tetradrachm,86055.0
39201,Pithos Fragment,85650.0
13329,Vessel Fragment,18467.0
3731,Head Fragment with Headdress,30690.0
5331,Upper Part of a Female Figurine,107606.0
30212,Oil Lamp,32259.0
25120,"Bead: on one Face, a bird; on the Other, a Horse Protome; around the Edge, Tamgas",13627.0
17451,"Naples, Prise de Posilype",23102.0
6500,Coin with Portrait (Obverse) and Gate of Roman Fortress (Reverse),111745.0
2696,Ruins of Egyptian and Greek Monuments (Rovine d'architettura Egiziana e Greca),92405.0
30687,Vessel with Puma Head,35161.0
20990,Painted Qero (Drinking Cup) with Harvest Scene (Arihua) and Tocapu Motifs,11996.0
38934,Tetradrachm,86815.0
25025,Finger Ring: Facing Portrait of Bearded Man,13510.0
23894,Face Bead,10883.0
11173,Bowl,18727.0
38667,Head from a Coffin Lid,103375.0
15651,Incised Tripod Bowl with Animal Head,27702.0
17378,"Lug-Handled Jar Decorated with Ships, Water, Plants, and Water Birds",91792.0
30233,Mould Made Lamp,32243.0
19127,Roma - Martiri Gorcomiesi - Fracassini - Vaticano,22108.0
24762,Scaraboid Intaglio with a Sphinx and Palmette Tree of Life,25912.0
32222,Vessel,47794.0
19763,Black-Figure Pottery Sherd,106404.0
21840,"Coin of Constantinus (Obverse: [CONSTANTINUS IUN(ior) NOB(ilissimus) C(aesar)] (Constantinus Junior Most Noble Caesar), Reverse: [CAESARUM NOSTRORUM] (Of our Caesars))",111362.0
3208,Coin,112161.0
36047,Heaven,76871.0
24784,Burnished Bowl,11757.0
13351,Necklace,105402.0
34778,Mademoiselle de Maupin I (Mademoiselle de Maupin II?) (from Rops Naturalia),59641.0
26582,Asen,30038.0
19137,"Black-Figure Pottery Sherd, Cup with Floral Band",106388.0
38666,Coffin Head,84360.0
31425,Coin,34321.0
15338,Bowl Fragment Depicting Oceanus with Lobsters in His Hair,110535.0
13479,Prutah of the Jewish War,112304.0
39173,Rim Fragment,85276.0
15349,Seated Figure with Outstretched Arms,28051.0
3181,Temple,21705.0
36642,Kifwebe,72447.0
11652,Intaglio Seal with Boar,64334.0
2605,Marco Aurelio,22044.0
2513,Pottery Fragment (Body) with Incised Lines,108434.0
26839,Round Stamp Seal with Cross or Four-Petaled Flower Pattern,19845.0
9072,Necklace Element (or Earring),48817.0
14785,Coatimundi Effigy Vessel,11247.0
18476,Black-Figure Column Krater Fragment with Palmette Design,37471.0
23871,Skyphos Fragment with Owl,109055.0
21277,"Firenze, Chiesa di S. Croce, un Dettaglio del Pulpito",26146.0
29662,Figurine Fragment,29370.0
12892,Mold for a Seated God,10136.0
31911,Cuneiform Tablet: Old Babylonian Scribal Practice Writing Sumerian Names Begining lugal-,35695.0
3148,Coin,111586.0
18952,Head Crest,26002.0
36293,Belt,71379.0
9762,Bowl Fragment,109864.0
26374,Red Camisa (Shirt) for a Male Saint Effigy,69582.0
3000,Red-Figure Cup with Women,60080.0
3188,Coin,112018.0
10473,"Head from a Female ""Stargazer"" Idol",54493.0
39470,Fragment,90223.0
26573,Gelede Mask,17329.0
24190,Red-Figure Psykter Fragment with Satyrs at Volute-Krater,91334.0
31853,Cuneiform Tablet: Old Babylonian Account of Barley,35556.0
29298,Animal Head Figurine,28944.0
20979,Pola--Chiesa della Misericordia. Porta sul Fianco (XVI Sec.),24096.0
39391,Fragment,89899.0
36332,Hat,71054.0
15755,Sarcophagus with High Relief Sculpture (Engraved: Jesus lui repondit ne t'ai je pas dit que si tu crois tu verrais la gloire de Dieu),21360.0
37749,Shabti of Horiraa,83193.0
24911,Intaglio with Seated Satyr,108298.0
38297,Venus,81878.0
31934,Pendant Amulet or Stamp Seal: Inscribed with Three Rows of Alphabetic Letters,35833.0
1206,Herodian Lamp,111969.0
7171,Bust,18641.0
32661,Lid from a Canopic Jar with the Head of Qebehsenuef,40484.0
13716,Sling Bullet,46532.0
38535,Tetradrachm,87386.0
38219,Red-Figure Lekanis,81757.0
27389,Head of a Deity,30278.0
24095,Falcon Pendant,14528.0
3469,Pottery Fragment (Body) with Incised Lines,108588.0
26924,Intagio with Seated Fortuna,21085.0
23897,Face Bead,10886.0
24167,Red-Figure Calyx-Krater Fragment with Meander Pattern,91693.0
9070,Bottle Stopper Pendant,46278.0
27126,Ringstone with Galloping Horse,22363.0
26444,Lion Protome,17005.0
39444,Fragment,90112.0
26736,Cup,46477.0
8434,"Firenze, Chiesa di S. Croce, Pilastro con la Madonna del Rossellino e la Pila dell'Acqua Santa",23779.0
5669,Miniature Spear-Thrower,11967.0
24956,Cameo with Head of Medusa,36711.0
